zip_code,per_price,city_country,,,,zip_code,,city_country,, per_price ,
514,161150.4132,彰化縣溪湖鎮,,,|,514,|,彰化縣溪湖鎮,|," $161,150 ",|
515,138841.3223,彰化縣大村鄉,,,|,515,|,彰化縣大村鄉,|," $138,841 ",|
516,140290.9091,彰化縣埔鹽鄉,,,|,516,|,彰化縣埔鹽鄉,|," $140,291 ",|
520,133097.5207,彰化縣田中鎮,,,|,520,|,彰化縣田中鎮,|," $133,098 ",|
521,151233.0579,彰化縣北斗鎮,,,|,521,|,彰化縣北斗鎮,|," $151,233 ",|
522,138952.0661,彰化縣田尾鄉,,,|,522,|,彰化縣田尾鄉,|," $138,952 ",|
523,140672.7273,彰化縣埤頭鄉,,,|,523,|,彰化縣埤頭鄉,|," $140,673 ",|
524,133705.7852,彰化縣溪州鄉,,,|,524,|,彰化縣溪州鄉,|," $133,706 ",|
525,77090.90909,彰化縣竹塘鄉,,,|,525,|,彰化縣竹塘鄉,|," $77,091 ",|
526,114647.9339,彰化縣二林鎮,,,|,526,|,彰化縣二林鎮,|," $114,648 ",|
527,60039.66942,彰化縣大城鄉,,,|,527,|,彰化縣大城鄉,|," $60,040 ",|
528,54327.27273,彰化縣芳苑鄉,,,|,528,|,彰化縣芳苑鄉,|," $54,327 ",|
530,74608.26446,彰化縣二水鄉,,,|,530,|,彰化縣二水鄉,|," $74,608 ",|
540,154809.9174,南投縣南投市,,,|,540,|,南投縣南投市,|," $154,810 ",|
541,69133.8843,南投縣中寮鄉,,,|,541,|,南投縣中寮鄉,|," $69,134 ",|
542,154332.2314,南投縣草屯鎮,,,|,542,|,南投縣草屯鎮,|," $154,332 ",|
544,92980.16529,南投縣國姓鄉,,,|,544,|,南投縣國姓鄉,|," $92,980 ",|
545,138472.7273,南投縣埔里鎮,,,|,545,|,南投縣埔里鎮,|," $138,473 ",|
551,108538.843,南投縣名間鄉,,,|,551,|,南投縣名間鄉,|," $108,539 ",|
552,90127.27272,南投縣集集鎮,,,|,552,|,南投縣集集鎮,|," $90,127 ",|
553,87137.19008,南投縣水里鄉,,,|,553,|,南投縣水里鄉,|," $87,137 ",|
555,115933.8843,南投縣魚池鄉,,,|,555,|,南投縣魚池鄉,|," $115,934 ",|
556,10735.53719,南投縣信義鄉,,,|,556,|,南投縣信義鄉,|," $10,736 ",|
557,104869.4215,南投縣竹山鎮,,,|,557,|,南投縣竹山鎮,|," $104,869 ",|
558,105980.1653,南投縣鹿谷鎮,,,|,558,|,南投縣鹿谷鎮,|," $105,980 ",|
600,126750.4132,嘉義市東區,,,|,600,|,嘉義市東區,|," $126,750 ",|
602,77072.72728,嘉義縣番路鄉,,,|,602,|,嘉義縣番路鄉,|," $77,073 ",|
603,111780.1653,嘉義縣梅山鄉,,,|,603,|,嘉義縣梅山鄉,|," $111,780 ",|
604,122234.7107,嘉義縣竹崎鄉,,,|,604,|,嘉義縣竹崎鄉,|," $122,235 ",|
606,125363.6364,嘉義縣中埔鄉,,,|,606,|,嘉義縣中埔鄉,|," $125,364 ",|
607,73745.45455,嘉義縣大埔鄉,,,|,607,|,嘉義縣大埔鄉,|," $73,745 ",|
608,115970.2479,嘉義縣水上鄉,,,|,608,|,嘉義縣水上鄉,|," $115,970 ",|
611,116261.157,嘉義縣鹿草鄉,,,|,611,|,嘉義縣鹿草鄉,|," $116,261 ",|
612,111537.1901,嘉義縣太保市,,,|,612,|,嘉義縣太保市,|," $111,537 ",|
613,101477.686,嘉義縣朴子市,,,|,613,|,嘉義縣朴子市,|," $101,478 ",|
614,34284.29752,嘉義縣東石鄉,,,|,614,|,嘉義縣東石鄉,|," $34,284 ",|
615,68238.01653,嘉義縣六腳鄉,,,|,615,|,嘉義縣六腳鄉,|," $68,238 ",|
616,123761.9835,嘉義縣新港鄉,,,|,616,|,嘉義縣新港鄉,|," $123,762 ",|
621,115352.0661,嘉義縣民雄鄉,,,|,621,|,嘉義縣民雄鄉,|," $115,352 ",|
622,96702.47934,嘉義縣大林鎮,,,|,622,|,嘉義縣大林鎮,|," $96,702 ",|
623,98395.04133,嘉義縣溪口鄉,,,|,623,|,嘉義縣溪口鄉,|," $98,395 ",|
624,65914.04959,嘉義縣義竹鄉,,,|,624,|,嘉義縣義竹鄉,|," $65,914 ",|
625,51090.90909,嘉義縣布袋鎮,,,|,625,|,嘉義縣布袋鎮,|," $51,091 ",|
630,125028.0992,雲林縣斗南鎮,,,|,630,|,雲林縣斗南鎮,|," $125,028 ",|
631,121676.0331,雲林縣大埤鄉,,,|,631,|,雲林縣大埤鄉,|," $121,676 ",|
632,134641.3223,雲林縣虎尾鎮,,,|,632,|,雲林縣虎尾鎮,|," $134,641 ",|
633,102947.1074,雲林縣土庫鎮,,,|,633,|,雲林縣土庫鎮,|," $102,947 ",|
634,62608.26446,雲林縣褒忠鄉,,,|,634,|,雲林縣褒忠鄉,|," $62,608 ",|
635,94148.76035,雲林縣東勢鄉,,,|,635,|,雲林縣東勢鄉,|," $94,149 ",|
636,58565.28925,雲林縣臺西鄉,,,|,636,|,雲林縣臺西鄉,|," $58,565 ",|
637,119352.0661,雲林縣崙背鄉,,,|,637,|,雲林縣崙背鄉,|," $119,352 ",|
638,113690.9091,雲林縣麥寮鄉,,,|,638,|,雲林縣麥寮鄉,|," $113,691 ",|
640,123543.8017,雲林縣斗六市,,,|,640,|,雲林縣斗六市,|," $123,544 ",|
643,70373.55372,雲林縣林內鄉,,,|,643,|,雲林縣林內鄉,|," $70,374 ",|
646,114651.2397,雲林縣古坑鄉,,,|,646,|,雲林縣古坑鄉,|," $114,651 ",|
647,111864.4628,雲林縣莿桐鄉,,,|,647,|,雲林縣莿桐鄉,|," $111,864 ",|
648,142333.8843,雲林縣西螺鎮,,,|,648,|,雲林縣西螺鎮,|," $142,334 ",|
649,86264.46281,雲林縣二崙鄉,,,|,649,|,雲林縣二崙鄉,|," $86,264 ",|
651,137606.6116,雲林縣北港鎮,,,|,651,|,雲林縣北港鎮,|," $137,607 ",|
652,81872.72728,雲林縣水林鄉,,,|,652,|,雲林縣水林鄉,|," $81,873 ",|
653,63527.27272,雲林縣口湖鄉,,,|,653,|,雲林縣口湖鄉,|," $63,527 ",|
654,87312.39669,雲林縣四湖鄉,,,|,654,|,雲林縣四湖鄉,|," $87,312 ",|
655,64528.92562,雲林縣元長鄉,,,|,655,|,雲林縣元長鄉,|," $64,529 ",|
700,172150.4132,臺南市中西區,,,|,700,|,臺南市中西區,|," $172,150 ",|
701,156406.6116,臺南市東區,,,|,701,|,臺南市東區,|," $156,407 ",|
702,138538.843,臺南市南區,,,|,702,|,臺南市南區,|," $138,539 ",|
704,167735.5372,臺南市北區,,,|,704,|,臺南市北區,|," $167,736 ",|
708,176353.719,臺南市安平區,,,|,708,|,臺南市安平區,|," $176,354 ",|
709,180335.5372,臺南市安南區,,,|,709,|,臺南市安南區,|," $180,336 ",|
710,151894.2149,臺南市永康區,,,|,710,|,臺南市永康區,|," $151,894 ",|
711,153651.2397,臺南市歸仁區,,,|,711,|,臺南市歸仁區,|," $153,651 ",|
712,118403.3058,臺南市新化區,,,|,712,|,臺南市新化區,|," $118,403 ",|
713,26628.09917,臺南市左鎮區,,,|,713,|,臺南市左鎮區,|," $26,628 ",|
714,94885.95042,臺南市玉井區,,,|,714,|,臺南市玉井區,|," $94,886 ",|
715,106145.4545,臺南市楠西區,,,|,715,|,臺南市楠西區,|," $106,145 ",|
716,49838.01653,臺南市南化區,,,|,716,|,臺南市南化區,|," $49,838 ",|
717,151365.2893,臺南市仁德區,,,|,717,|,臺南市仁德區,|," $151,365 ",|
718,143371.9008,臺南市關廟區,,,|,718,|,臺南市關廟區,|," $143,372 ",|
720,127421.4876,臺南市官田區,,,|,720,|,臺南市官田區,|," $127,421 ",|
721,137183.4711,臺南市麻豆區,,,|,721,|,臺南市麻豆區,|," $137,183 ",|
722,122634.7108,臺南市佳里區,,,|,722,|,臺南市佳里區,|," $122,635 ",|
723,132085.9504,臺南市西港區,,,|,723,|,臺南市西港區,|," $132,086 ",|
724,84441.32232,臺南市七股區,,,|,724,|,臺南市七股區,|," $84,441 ",|
725,109682.6446,臺南市將軍區,,,|,725,|,臺南市將軍區,|," $109,683 ",|
726,99636.36364,臺南市學甲區,,,|,726,|,臺南市學甲區,|," $99,636 ",|
727,43477.68595,臺南市北門區,,,|,727,|,臺南市北門區,|," $43,478 ",|
730,128910.7438,臺南市新營區,,,|,730,|,臺南市新營區,|," $128,911 ",|
731,73137.19008,臺南市後壁區,,,|,731,|,臺南市後壁區,|," $73,137 ",|
732,116905.7851,臺南市白河區,,,|,732,|,臺南市白河區,|," $116,906 ",|
733,78523.96695,臺南市東山區,,,|,733,|,臺南市東山區,|," $78,524 ",|
734,126800,臺南市六甲區,,,|,734,|,臺南市六甲區,|," $126,800 ",|
735,119828.0992,臺南市下營區,,,|,735,|,臺南市下營區,|," $119,828 ",|
736,134684.2975,臺南市柳營區,,,|,736,|,臺南市柳營區,|," $134,684 ",|
737,125857.8512,臺南市鹽水區,,,|,737,|,臺南市鹽水區,|," $125,858 ",|
741,163204.9587,臺南市善化區,,,|,741,|,臺南市善化區,|," $163,205 ",|
742,101451.2397,臺南市大內區,,,|,742,|,臺南市大內區,|," $101,451 ",|
743,135857.8512,臺南市山上區,,,|,743,|,臺南市山上區,|," $135,858 ",|
744,157424.7934,臺南市新市區,,,|,744,|,臺南市新市區,|," $157,425 ",|
745,153642.9752,臺南市安定區,,,|,745,|,臺南市安定區,|," $153,643 ",|
800,168314.0496,高雄市新興區,,,|,800,|,高雄市新興區,|," $168,314 ",|
801,190223.1405,高雄市前金區,,,|,801,|,高雄市前金區,|," $190,223 ",|
802,205264.4629,高雄市苓雅區,,,|,802,|,高雄市苓雅區,|," $205,264 ",|
803,132654.5455,高雄市鹽埕區,,,|,803,|,高雄市鹽埕區,|," $132,655 ",|
804,220095.8678,高雄市鼓山區,,,|,804,|,高雄市鼓山區,|," $220,096 ",|
805,62123.96694,高雄市旗津區,,,|,805,|,高雄市旗津區,|," $62,124 ",|
806,172879.3388,高雄市前鎮區,,,|,806,|,高雄市前鎮區,|," $172,879 ",|
807,175391.7355,高雄市三民區,,,|,807,|,高雄市三民區,|," $175,392 ",|
811,159228.0992,高雄市楠梓區,,,|,811,|,高雄市楠梓區,|," $159,228 ",|
812,151537.1901,高雄市小港區,,,|,812,|,高雄市小港區,|," $151,537 ",|
813,199900.8265,高雄市左營區,,,|,813,|,高雄市左營區,|," $199,901 ",|
814,194370.2479,高雄市仁武區,,,|,814,|,高雄市仁武區,|," $194,370 ",|
815,139682.6446,高雄市大社區,,,|,815,|,高雄市大社區,|," $139,683 ",|
820,146472.7273,高雄市岡山區,,,|,820,|,高雄市岡山區,|," $146,473 ",|
821,171325.6198,高雄市路竹區,,,|,821,|,高雄市路竹區,|," $171,326 ",|
822,120570.2479,高雄市阿蓮區,,,|,822,|,高雄市阿蓮區,|," $120,570 ",|
823,37803.30579,高雄市田寮區,,,|,823,|,高雄市田寮區,|," $37,803 ",|
824,112942.1488,高雄市燕巢區,,,|,824,|,高雄市燕巢區,|," $112,942 ",|
825,172770.2479,高雄市橋頭區,,,|,825,|,高雄市橋頭區,|," $172,770 ",|
826,141031.405,高雄市梓官區,,,|,826,|,高雄市梓官區,|," $141,031 ",|
827,150512.3967,高雄市彌陀區,,,|,827,|,高雄市彌陀區,|," $150,512 ",|
828,85388.42975,高雄市永安區,,,|,828,|,高雄市永安區,|," $85,388 ",|
829,105061.157,高雄市湖內區,,,|,829,|,高雄市湖內區,|," $105,061 ",|
830,168097.5207,高雄市鳳山區,,,|,830,|,高雄市鳳山區,|," $168,098 ",|
831,118062.8099,高雄市大寮區,,,|,831,|,高雄市大寮區,|," $118,063 ",|
832,88757.02479,高雄市林園區,,,|,832,|,高雄市林園區,|," $88,757 ",|
833,189485.9504,高雄市鳥松區,,,|,833,|,高雄市鳥松區,|," $189,486 ",|
840,123867.7686,高雄市大樹區,,,|,840,|,高雄市大樹區,|," $123,868 ",|
842,87418.18182,高雄市旗山區,,,|,842,|,高雄市旗山區,|," $87,418 ",|
843,93201.6529,高雄市美濃區,,,|,843,|,高雄市美濃區,|," $93,202 ",|
844,56628.09917,高雄市六龜區,,,|,844,|,高雄市六龜區,|," $56,628 ",|
845,111616.5289,高雄市內門區,,,|,845,|,高雄市內門區,|," $111,617 ",|
846,45490.90909,高雄市杉林區,,,|,846,|,高雄市杉林區,|," $45,491 ",|
847,42436.36364,高雄市甲仙區,,,|,847,|,高雄市甲仙區,|," $42,436 ",|
852,108866.1157,高雄市茄萣區,,,|,852,|,高雄市茄萣區,|," $108,866 ",|
880,140836.3636,澎湖縣馬公市,,,|,880,|,澎湖縣馬公市,|," $140,836 ",|
881,57900.82645,澎湖縣西嶼鄉,,,|,881,|,澎湖縣西嶼鄉,|," $57,901 ",|
882,53018.18182,澎湖縣望安鄉,,,|,882,|,澎湖縣望安鄉,|," $53,018 ",|
884,32717.35538,澎湖縣白沙鄉,,,|,884,|,澎湖縣白沙鄉,|," $32,717 ",|
885,87547.10744,澎湖縣湖西鄉,,,|,885,|,澎湖縣湖西鄉,|," $87,547 ",|
890,175514.0496,金門縣金沙鎮,,,|,890,|,金門縣金沙鎮,|," $175,514 ",|
891,192368.5951,金門縣金湖鎮,,,|,891,|,金門縣金湖鎮,|," $192,369 ",|
892,196355.3719,金門縣金寧鄉,,,|,892,|,金門縣金寧鄉,|," $196,355 ",|
893,201490.9091,金門縣金城鎮,,,|,893,|,金門縣金城鎮,|," $201,491 ",|
900,117277.686,屏東縣屏東市,,,|,900,|,屏東縣屏東市,|," $117,278 ",|
901,36459.50413,屏東縣三地門鄉,,,|,901,|,屏東縣三地門鄉,|," $36,460 ",|
903,48928.92562,屏東縣瑪家鄉,,,|,903,|,屏東縣瑪家鄉,|," $48,929 ",|
904,119662.8099,屏東縣九如鄉,,,|,904,|,屏東縣九如鄉,|," $119,663 ",|
905,107580.1653,屏東縣里港鄉,,,|,905,|,屏東縣里港鄉,|," $107,580 ",|
906,58462.80992,屏東縣高樹鄉,,,|,906,|,屏東縣高樹鄉,|," $58,463 ",|
907,70277.68595,屏東縣鹽埔鄉,,,|,907,|,屏東縣鹽埔鄉,|," $70,278 ",|
908,132869.4215,屏東縣長治鄉,,,|,908,|,屏東縣長治鄉,|," $132,869 ",|
